12,5
13,5
14,5
12,6
13,6
14,6
12,7
13,7
14,7
12,8
13,8
14,8
12,9
13,9
14,9
12,10
13,10
14,10
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,12
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
5,14
6,14
7,14
16,14
17,14
18,14
5,15
6,15
7,15
16,15
17,15
18,15
5,16
6,16
7,16
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,16
17,16
18,16
5,17
6,17
7,17
8,17
9,17
10,17
11,17
12,17
13,17
14,17
15,17
16,17
17,17
18,17
5,18
6,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
14,18
15,18
16,18
17,18
18,18
